id,word,wordtype,wordmeaning
2552,manufacture,verb," to make something in a factory.  noun the making of a product for sale, using machines."
2553,manufacturer,noun, a company which makes a product.
2554,manufacturer's recommended price,noun," the price at which the manufacturer suggests a product should be sold on the retail market, though often reduced by the retailer."
2555,manufacturing ,noun,the production of machine-made products for sale.
2556,manufacturing capacity ,noun,the amount of a product which a factory is capable of making.
2557,manufacturing clause,noun,"a clause in the American Copyright Act 1978, restricting the import into the USA of books written by Americans and published outside the USA, abandoned in 1982."
2558,manufacturing costs ,noun, the costs of making a product.
2559,manufacturing industries,noun," industries which take raw materials and make them into finished products.
"
2560,manuscript,noun," a typed or handwritten text of something before it is printed. 

2561,map,noun," a diagrammatic representation of an area of land 

"
2562,map papers ,noun,"papers used for map work, with high opacity and good folding capacity."
2563,mapping pen ,noun," a pen with a fine round point, used for drawing maps."
2564,marble,verb,"to colour paper with a swirling pattern of colours, similar to patterns on marble."
2565,marbled endpapers ,noun, endpapers made with marbled paper.
2566,marbling,noun,"coloured patterns used on endpapers. 

2567,marching display ,noun, a display device containing a buffer which allows the last few characters entered to be displayed.
2568,margin,noun," a blank space around a section of printed text between the printed text and the edge of the paper 

2569,marginal ,adjective, in a margin.
2570,marginal cost ,noun, the cost of making a single extra unit above the number already planned.
2571,marginalia ,noun,marginal notes.
2572,marginal pricing ,noun,the act of making the selling price the same as the marginal cost.
2573,marginal revenue,noun,income from selling a single extra unit above the number already sold.
2574,margination ,noun,the act of giving margins to a printed page.
2575,margin guide ,noun,"in desktop publishing programs, a nonprinting line or box that shows on-screen where the page margins are."
2576,margin of error ,noun,the number of mistakes that are considered to be acceptable in a document or calculation.
2577,margin of safety,noun,"sales which are above the breakeven point.
"
2578,mark ,noun,"1. a sign or symbol written on a page. 2. the score or grade achieved for an assignment or examination. 

verb; to assess work and award it a grade or score."
2579,mark down ,verb, to make something such as a grade or price lower.
2580,mark-down ,noun, 1. a reduction of the price of something to less than its usual price 2. a percentage amount by which a price has been lowered.  ? We have used a 30% mark-down to fix the sale price.
2581,marked proof ,noun," a proof which has been read by the printer's reader, with their corrections marked in green ink, sent to the publisher for reading and for instructions for corrections."
2582,marker ,noun, an object that is used to show the position of something.
2583,marker pen ,noun,a coloured pen used to indicate or highlight sections of text.
2584,market,noun,"1. the number of people wishing to buy a product or the area of the world where it is sold 2. 

2585,marketable,adjective,easy to sell.
2586,market analysis ,noun,same as market research.
2587,market capitalisation ,noun, the value of a company calculated by multiplying the price of its shares on the stock exchange by the number of shares issued. 
2588,marketing,noun," techniques used in selling a product, such as packaging and advertising."
2589,marketing agreement,noun, a contract by which one company will market another company's products.
2590,marketing department,noun,a department in a company which specialises in using marketing techniques to sell a product.
2591,marketing manager ,noun, a person in charge of a marketing department.
2592,marketing plan ,noun,"a strategy for selling a product or service by planning the advertising and distribution within a selected market.
"
2593,market leader ,noun," the product which sells most in a market, or a company which has the largest share of a market."
2594,market opening ,noun,the possibility of starting to do business in a new market.
2595,market opportunities ,noun,noun the possibility of finding new sales in a market.
2596,market penetration ,noun, an expression of how much of the chosen market is reached by a product.? They estimated a 50% market penetration for the information service.
